symbol,open,high,low,close,volume,adjust_close
A,43.64,44.119999,43.330001,43.67,5520800,
AA,9.119991,9.119991,8.919991,8.969991,9650600,
AACC,4.65,4.65,4.56,4.61,62400,
AAMRQ,1.33,1.44,1.14,1.29,23312000,
AAN,29.32,29.34,28.73,28.92,190000,
AAON,21.870001,22.090004,21.550004,22.020007,134600,
AAP,72.559998,72.559998,71.510002,71.760002,583200,
AAPL,528.549988,528.719978,515.519997,523.509979,150286500,
AAT,28.65,28.790001,28.34,28.379999,133200,
AAU,3,3.1,3,3.07,88600,
AAV,3.16,3.2,3.09,3.13,223600,
AAWW,47.240002,47.27,45.380001,45.700001,224100,
AAXJ,61.18,61.310001,60.91,61.23,288400,
AB,19.440001,19.83,19.42,19.559999,337300,
ABAX,38.599998,39.41,38,39.279999,178100,
ABB,21.379999,21.57,21.309999,21.540001,1222700,
ABBV,33.66,34,33.330002,34,15658100,
ABC,43.950001,43.990002,43.689999,43.889999,1579900,
ABCO,50.849998,51.669998,50.16,50.98,117000,
ABFS,9.78,10.25,9.68,10.18,291100,
ABG,33,33.400002,32.599998,33.009998,425200,
ABM,20.6,20.6,20.379999,20.49,153900,
ABMD,12.94,13,12.73,12.8,509600,
ABR,6.76,6.76,6.66,6.7,129700,
ABT,33.700001,33.939999,33.66,33.849998,9668400,
ABV,43.04,43.17,42.46,42.97,13670100,
ABX,33.970001,34.66,33.91,34.5,8636000,
ACAD,4.99,5.02,4.88,4.98,802900,
ACAS,13.02,13.14,12.98,13.14,2677900,
ACAT,36.720001,36.720001,35.48,36.34,149900,
ACC,47.369999,47.470001,46.860001,46.939999,397500,
ACCL,9.3,9.3699,9.22,9.27,92800,
ACCO,7.82,7.97,7.74,7.8,549800,
ACE,81.029999,82.110001,80.839996,82.040001,2347200,
ACET,10.15,10.15,9.93,10.04,51400,
ACFN,7.89,8.04,7.83,8.02,69400,
ACGL,44.529999,44.619999,44.310001,44.509998,570800,
ACH,13.11,13.29,13.01,13.28,253400,
ACHC,25.09,25.290001,24.82,24.83,151700,
ACHN,9.22,9.22,8.92,9.02,480800,
ACI,7.39,7.44,7.22,7.23,667700,
ACIW,46.19,46.290001,45.679999,46.079999,742800,
ACLS,1.4,1.4,1.33,1.36,44000,
ACM,24.719999,24.92,24.6,24.82,652400,
ACMP,35.25,35.41,34.91,35.05,534600,
ACN,69.849998,69.849998,68.720001,69.169998,2773900,
ACO,32.82,33,32.19,32.79,84300,
ACOR,27.200001,28.200001,26.719999,27.98,457900,
ACRE,17.030001,17.1,16.950001,17.08,58800,
ACTG,25.620001,25.870001,25.309999,25.85,420700,
ACTV,5.45,5.92,5.45,5.67,789200,
ACUR,2.38,2.38,2.25,2.27,203961,
ACW,3.4,3.45,3.25,3.29,44200,
ACWI,49.169998,49.32,48.919998,49.290001,522100,
ACWX,42.619999,42.73,42.43,42.669998,187300,
ACXM,18.450001,18.49,18.08,18.48,203400,
ADBE,38.75,38.779999,38.09,38.619999,3645200,
ADC,27.440001,28.120001,27.389999,28.09,89400,
ADES,18.43,18.43,17.85,18.14,94000,
ADI,42.25,42.630001,42.189999,42.610001,2275800,
ADM,28.57,28.620001,28.26,28.34,3469900,
ADP,59.480001,59.490003,58.970005,59.320003,2071300,
ADS,155.699997,156.220001,153.580002,154.830002,565600,
ADSK,36.889999,36.939999,36.029999,36.52,1416000,
ADT,46.34,46.66,45.689999,46.5,2739700,
ADTN,20.700001,21.07,20.469999,20.99,1425200,
ADVS,23.860001,23.98,23.450001,23.76,163000,
ADY,6.83,7,6.78,6.99,276900,
AEC,16.370001,16.389999,16.18,16.379999,326400,
AEE,31.120001,31.48,31.1,31.48,2123500,
AEG,6.65,6.68,6.58,6.67,395200,
AEGN,22.93,22.99,22.309999,22.77,310700,
AEGR,27.700001,27.74,25.440001,26.639999,665900,
AEIS,13.77,13.9,13.62,13.9,153800,
AEL,13.03,13.09,12.91,13.08,837200,
AEM,50.439999,50.970001,49.860001,50.689999,1205200,
AEO,19.84,19.99,19.370001,19.940001,7296100,
AEP,43.25,43.549999,43.119999,43.549999,2071000,
AER,14.37,14.41,14.09,14.33,170100,
AERL,3.65,3.97,3.6,3.79,283600,
AES,10.95,11.11,10.88,11.09,3716300,
AET,45.09,45.759998,44.900002,45.759998,2016000,
AF,9.77,9.83,9.66,9.7,737000,
AFAM,20.74,20.84,20.559999,20.65,39100,
AFCE,28.08,28.08,27.6,27.79,26100,
AFFX,3.47,3.56,3.47,3.47,465400,
AFFY,20.709999,21.379999,20.43,21.18,519300,
AFG,41.209999,41.470001,41.110001,41.41,440200,
AFL,52.98,53.41,52.669998,53.369999,2403400,
AFSI,30.520001,30.910001,30.310002,30.74,476000,
AG,20.26,20.469999,20.110001,20.290001,825400,
AGCO,51.110001,51.23,50.619999,50.990002,600600,
AGEN,4,4.25,4,4.09,79400,
AGG,110.699997,110.809998,110.650002,110.739998,1128700,
AGII,35.490001,35.670001,35.370005,35.510003,63900,
AGM,34,34.150002,33.790001,33.959999,27600,
AGN,87.650002,88.330002,87.25,87.989998,1103300,
AGNC,30.98,30.99,30.719999,30.959999,2806600,
AGO,15.04,15.04,14.78,14.91,1491400,
AGQ,44.790001,45.59,44.75,45.110001,277600,
AGRO,8.81,9.06,8.81,8.9,216600,
AGU,104.32,105.339996,103.5,105.25,500900,
AGX,18.73,18.950001,18.389999,18.75,68400,
AGYS,8.59,8.74,8.5,8.69,35000,
AH,20.1,20.2,19.8,19.9,1068300,
AHGP,49.310001,50.040001,49.310001,49.880001,72300,
AHL,32.790001,32.939999,32.669998,32.900002,346300,
AHS,12.12,12.14,11.8,12.01,107600,
AHT,10.519989,10.979997,10.319988,10.929993,1211200,
AI,22.33,22.629999,22.16,22.52,105400,
AIG,35.790001,35.950001,35.459999,35.799999,18181000,
AIMC,22.860001,23.23,22.17,22.370001,60100,
AINV,8.97,9.06,8.87,8.96,3690700,
AIR,19.780001,19.780001,19.18,19.360001,498300,
AIRM,41.200001,41.48,40.689999,41.400002,477400,
AIT,43.330002,43.330002,42.02,42.450001,249400,
AIV,27.57,27.700001,27.280001,27.450001,1077700,
AIXG,13.82,13.84,13.5,13.61,109500,
AIZ,35.650002,36.09,35.650002,36.09,616500,
AJG,35.700001,35.77,35.549999,35.689999,438100,
AKAM,39.98,39.98,39.220001,39.5,3078500,
AKR,25.459999,25.629999,25.440001,25.52,402700,
AKRX,14.1,14.18,13.95,14.13,503000,
AKS,4.81,4.83,4.67,4.79,5512700,
AL,22.030001,22.120001,21.91,22.02,120700,
ALB,64.410004,64.709999,63.720001,64.169998,403400,
ALC,9.65,9.78,9.575,9.63,97100,
ALE,43,43.060001,42.799999,42.900002,155800,
ALEX,29.940001,30.049999,29.58,29.719999,146400,
ALGN,27.389999,27.48,26.65,26.889999,1320700,
ALGT,77.169998,77.410004,75.440002,75.779999,102200,
ALIM,1.82,1.85,1.69,1.69,17000,
ALJ,17.469999,17.49,17.219999,17.389999,343600,
ALK,46.509998,46.740002,45.939999,45.970001,1035200,
ALKS,22.5,22.5,21.629999,21.77,1591800,
ALL,42.490002,42.66,42.389999,42.580002,3104200,
ALLT,13.72,13.93,13.6,13.75,664800,
ALNY,20.27,20.74,19.93,20.25,316000,
ALOG,75.080002,75.919998,74.959999,75.889999,41800,
ALR,20.75,20.98,20.66,20.91,606400,
ALSK,2.03,2.04,2.01,2.04,268900,
ALSN,20.67,20.76,20.43,20.51,495600,
ALTE,29.28,29.66,29.25,29.57,431200,
ALTR,34.73,34.990002,34.560001,34.93,2581800,
ALU,1.65,1.65,1.6,1.63,25202500,
ALV,66.760002,66.779999,65.540001,65.779999,752000,
ALVR,0.47,0.48,0.44,0.47,23100,
ALXA,4.97,4.97,4.71,4.93,264100,
ALXN,100.68,102.739998,100.089996,102.57,1721900,
AM,16.55,16.76,16.48,16.56,157800,
AMAG,16.17,16.459999,15.82,16.459999,51300,
AMAT,11.72,11.85,11.62,11.64,10049100,
AMCC,8.98,9.17,8.94,9.15,543000,
AMCX,53.790001,54.009998,52.860001,53.029999,859400,
AMD,2.69,2.7,2.61,2.62,19408800,
AME,38.779999,38.900002,38.279999,38.790001,1247900,
AMED,11.42,11.53,11.05,11.27,256700,
AMG,139,139.369995,137.699997,138.75,453500,
AMGN,88.32,89,87.269997,87.809998,5861200,
AMJ,41,41.32,40.970001,41.259998,674600,
