contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,mid,T,r
A130119C00018000,A,2013-01-19,call,18.0,A,22.05,,25.4,,0,0,2013-01-02,1.0,0.0,-0.0545,0.0,0.2827,23.725,0.04657534246575343,0.1
A130119C00019000,A,2013-01-19,call,19.0,A,21.0,,24.35,,0,0,2013-01-02,1.0,0.0,-0.0575,0.0,0.2827,22.675,0.04657534246575343,0.1
A130119C00020000,A,2013-01-19,call,20.0,A,19.9,,23.35,,0,5,2013-01-02,1.0,0.0,-0.0606,0.0,0.2827,21.625,0.04657534246575343,0.1
A130119C00021000,A,2013-01-19,call,21.0,A,19.2,,22.35,,0,0,2013-01-02,1.0,0.0,-0.0636,0.0,0.2827,20.775,0.04657534246575343,0.1
A130119C00022000,A,2013-01-19,call,22.0,A,18.3,,21.35,,0,0,2013-01-02,1.0,0.0,-0.0667,0.0,0.2827,19.825000000000003,0.04657534246575343,0.1
A130119C00023000,A,2013-01-19,call,23.0,A,16.75,,20.45,,0,0,2013-01-02,1.0,0.0,-0.0696,0.0,0.2827,18.6,0.04657534246575343,0.1
A130119C00024000,A,2013-01-19,call,24.0,A,17.1,,19.45,,0,0,2013-01-02,1.0,0.0,-0.0727,0.0,0.2827,18.275,0.04657534246575343,0.1
A130119C00025000,A,2013-01-19,call,25.0,A,16.1,,18.4,,0,3,2013-01-02,1.0,0.0,-0.0757,0.0,0.2827,17.25,0.04657534246575343,0.1
A130119C00026000,A,2013-01-19,call,26.0,A,14.3,,17.35,,0,0,2013-01-02,1.0,0.0,-0.0788,0.0,0.2827,15.825000000000001,0.04657534246575343,0.1
A130119C00027000,A,2013-01-19,call,27.0,A,14.1,,16.4,,0,0,2013-01-02,1.0,0.0,-0.0817,0.0,0.2827,15.25,0.04657534246575343,0.1
A130119C00028000,A,2013-01-19,call,28.0,A,12.45,,14.0,,0,0,2013-01-02,1.0,0.0,-0.0848,0.0,0.2827,13.225,0.04657534246575343,0.1
A130119C00029000,A,2013-01-19,call,29.0,A,12.1,,13.0,,0,0,2013-01-02,1.0,0.0,-0.0878,0.0,0.2827,12.55,0.04657534246575343,0.1
A130119C00030000,A,2013-01-19,call,30.0,A,11.8,,11.95,,0,12,2013-01-02,1.0,0.0,-0.0909,0.0,0.2827,11.875,0.04657534246575343,0.1
A130119C00031000,A,2013-01-19,call,31.0,A,10.1,,11.0,,0,0,2013-01-02,1.0,0.0,-0.0939,0.0,0.2827,10.55,0.04657534246575343,0.1
A130119C00032000,A,2013-01-19,call,32.0,A,9.1,,10.0,,0,0,2013-01-02,1.0,0.0,-0.0973,0.0001,0.2827,9.55,0.04657534246575343,0.1
A130119C00033000,A,2013-01-19,call,33.0,A,8.1,,9.0,,0,0,2013-01-02,1.0,0.0,-0.1034,0.0011,0.2827,8.55,0.04657534246575343,0.1
A130119C00034000,A,2013-01-19,call,34.0,A,7.1,,8.05,,0,0,2013-01-02,0.9998,0.0002,-0.126,0.0073,0.2827,7.575,0.04657534246575343,0.1
A130119C00035000,A,2013-01-19,call,35.0,A,6.8,,6.95,,0,141,2013-01-02,0.9988,0.0016,-0.2181,0.0354,0.2827,6.875,0.04657534246575343,0.1
A130119C00036000,A,2013-01-19,call,36.0,A,5.85,,5.95,,1,1003,2013-01-02,0.9948,0.006,-0.5276,0.1327,0.2827,5.9,0.04657534246575343,0.1
A130119C00037000,A,2013-01-19,call,37.0,A,4.85,,5.0,,58,1324,2013-01-02,0.9823,0.0174,-1.3307,0.3865,0.2827,4.925,0.04657534246575343,0.1
