date,exdate,cp_flag,strike_price,best_bid,best_offer,impl_volatility,mid,T
2023-01-03,2023-01-13,P,250.0,124.6,124.9,,124.75,0.0273972602739726
2023-01-03,2023-01-20,P,142.0,16.7,17.0,,16.85,0.04657534246575343
2023-01-03,2023-01-20,P,143.0,17.7,17.95,,17.825,0.04657534246575343
2023-01-03,2023-01-20,P,144.0,18.65,18.9,,18.775,0.04657534246575343
2023-01-03,2023-01-13,P,245.0,119.6,119.9,,119.75,0.0273972602739726
2023-01-03,2023-01-06,C,100.0,25.15,25.45,1.371282,25.299999999999997,0.00821917808219178
2023-01-03,2023-01-06,C,105.0,20.2,20.45,1.14182,20.325,0.00821917808219178
2023-01-03,2023-01-06,C,110.0,15.25,15.45,0.907767,15.35,0.00821917808219178
2023-01-03,2023-01-06,C,111.0,14.2,14.55,0.875116,14.375,0.00821917808219178
2023-01-03,2023-01-06,C,112.0,13.3,13.45,0.822883,13.375,0.00821917808219178
2023-01-03,2023-01-06,C,113.0,12.35,12.5,0.80281,12.425,0.00821917808219178
2023-01-03,2023-01-06,C,114.0,11.35,11.55,0.763509,11.45,0.00821917808219178
2023-01-03,2023-01-06,C,115.0,10.35,10.55,0.70876,10.45,0.00821917808219178
2023-01-03,2023-01-06,C,116.0,9.45,9.65,0.702626,9.55,0.00821917808219178
2023-01-03,2023-01-06,C,117.0,8.55,8.7,0.676724,8.625,0.00821917808219178
2023-01-03,2023-01-06,C,118.0,7.6,7.85,0.654478,7.725,0.00821917808219178
2023-01-03,2023-01-06,C,119.0,6.7,6.9,0.616937,6.800000000000001,0.00821917808219178
2023-01-03,2023-01-06,C,120.0,5.95,6.05,0.612601,6.0,0.00821917808219178
2023-01-03,2023-01-06,C,121.0,5.2,5.25,0.603467,5.225,0.00821917808219178
2023-01-03,2023-01-06,C,122.0,4.45,4.5,0.589448,4.475,0.00821917808219178
2023-01-03,2023-01-06,C,123.0,3.75,3.8,0.576125,3.775,0.00821917808219178
2023-01-03,2023-01-06,C,124.0,3.1,3.2,0.567688,3.1500000000000004,0.00821917808219178
2023-01-03,2023-01-06,C,125.0,2.55,2.57,0.553825,2.5599999999999996,0.00821917808219178
2023-01-03,2023-01-06,C,126.0,2.05,2.06,0.545018,2.0549999999999997,0.00821917808219178
2023-01-03,2023-01-06,C,127.0,1.59,1.61,0.532829,1.6,0.00821917808219178
2023-01-03,2023-01-06,C,128.0,1.21,1.22,0.521528,1.2149999999999999,0.00821917808219178
2023-01-03,2023-01-06,C,129.0,0.9,0.92,0.514301,0.91,0.00821917808219178
2023-01-03,2023-01-06,C,130.0,0.66,0.67,0.507551,0.665,0.00821917808219178
2023-01-03,2023-01-06,C,131.0,0.47,0.48,0.501841,0.475,0.00821917808219178
2023-01-03,2023-01-06,C,132.0,0.33,0.35,0.500599,0.33999999999999997,0.00821917808219178
2023-01-03,2023-01-06,C,133.0,0.24,0.25,0.502885,0.245,0.00821917808219178
2023-01-03,2023-01-06,C,134.0,0.17,0.18,0.505713,0.175,0.00821917808219178
2023-01-03,2023-01-06,C,135.0,0.12,0.13,0.509709,0.125,0.00821917808219178
2023-01-03,2023-01-06,C,136.0,0.09,0.1,0.520479,0.095,0.00821917808219178
2023-01-03,2023-01-06,C,137.0,0.06,0.07,0.52167,0.065,0.00821917808219178
2023-01-03,2023-01-06,C,138.0,0.05,0.06,0.541297,0.055,0.00821917808219178
2023-01-03,2023-01-06,C,139.0,0.03,0.05,0.547647,0.04,0.00821917808219178
2023-01-03,2023-01-06,C,140.0,0.03,0.04,0.568297,0.035,0.00821917808219178
2023-01-03,2023-01-06,C,141.0,0.02,0.03,0.572657,0.025,0.00821917808219178
2023-01-03,2023-01-06,C,142.0,0.02,0.03,0.601789,0.025,0.00821917808219178
2023-01-03,2023-01-06,C,143.0,0.01,0.03,0.613338,0.02,0.00821917808219178
2023-01-03,2023-01-06,C,144.0,0.01,0.03,0.641104,0.02,0.00821917808219178
2023-01-03,2023-01-06,C,145.0,0.01,0.02,0.646611,0.015,0.00821917808219178
2023-01-03,2023-01-06,C,146.0,0.0,0.02,0.644056,0.01,0.00821917808219178
2023-01-03,2023-01-06,C,147.0,0.0,0.01,0.625018,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,148.0,0.0,0.01,0.6486,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,149.0,0.0,0.01,0.671939,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,150.0,0.0,0.01,0.695041,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,152.5,0.0,0.01,0.751804,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,155.0,0.0,0.01,0.807217,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,157.5,0.0,0.01,0.861362,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,160.0,0.0,0.01,0.914312,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,162.5,0.0,0.01,0.966134,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,165.0,0.0,0.01,1.016888,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,167.5,0.0,0.01,1.066626,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,170.0,0.0,0.01,1.115398,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,172.5,0.0,0.01,1.163246,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,175.0,0.0,0.01,1.210208,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,177.5,0.0,0.01,1.256321,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,180.0,0.0,0.01,1.301615,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,185.0,0.0,0.01,1.389869,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,190.0,0.0,0.01,1.47519,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,195.0,0.0,0.01,1.557772,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,200.0,0.0,0.01,1.637795,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,205.0,0.0,0.01,1.715419,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,210.0,0.0,0.01,1.790792,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,215.0,0.0,0.01,1.864046,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,220.0,0.0,0.01,1.935303,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,225.0,0.0,0.01,2.004673,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,230.0,0.0,0.01,2.072255,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,235.0,0.0,0.01,2.138141,0.005,0.00821917808219178
2023-01-03,2023-01-06,C,240.0,0.0,0.01,2.202414,0.005,0.00821917808219178
