ticker,secid
A,8417.0
A,101149.0
AA,101204.0
AA,205456.0
AA,210354.0
AAA,7247.0
AAA,113102.0
AAA,115414.0
AAA,214671.0
AAA,218000.0
AAAA,134713.0
AAAA,139325.0
AAAAD,139325.0
AAAAE,139325.0
AAAB,101061.0
AAAB,148403.0
AAABB,101061.0
AAABD,148403.0
AAABE,148403.0
AAAC,127020.0
AAACX,216318.0
AAAE,125592.0
AAAEE,125592.0
AAAG,204185.0
AAAN,125592.0
AAAP,206161.0
AAAU,213197.0
AABA,112180.0
AABC,101001.0
AABT,115880.0
AABTE,115880.0
AAC,7431.0
AAC,7904.0
AAC,100981.0
AAC,145676.0
AAC,205516.0
AAC,215614.0
AACB,7904.0
AACB,101240.0
AACC,120163.0
AACE,101015.0
AACG,135210.0
AACI,6070.0
AACI,216891.0
AACPF,145676.0
AACQ,123279.0
AACQ,214661.0
AACS,114858.0
AACSE,114858.0
AACT,218505.0
AACZ,5010.0
AACZE,5010.0
AADG,125756.0
AADGE,125756.0
AADI,103872.0
AADI,129592.0
AADI,213086.0
AADR,143581.0
AADR,143583.0
AADR,143584.0
AADV,7470.0
AAEX,129655.0
AAF,6671.0
AAFG,9122.0
AAFGD,9122.0
AAFGE,9122.0
AAFGQ,9122.0
AAFS,129654.0
AAFSE,129654.0
AAG,105378.0
AAGC,143442.0
AAGH,117830.0
AAGH,154587.0
AAGHE,117830.0
AAGI,111402.0
AAGIE,111402.0
AAGIY,6695.0
AAGP,104485.0
AAGR,217500.0
AAGR,219076.0
AAH,8341.0
AAHC,154635.0
AAHS,106205.0
AAHSD,106205.0
AAI,5777.0
AAI,101172.0
AAIA,6622.0
AAIC,105017.0
AAII,101600.0
AAII,108832.0
AAIIE,101600.0
AAIIQ,101600.0
AAIIQ,108832.0
AAIR,8652.0
AAIR,101172.0
AAIR,123279.0
AAIRD,101172.0
AAIRE,123279.0
AAIT,151911.0
AAIT,151912.0
AAIT,151933.0
AAL,5022.0
AAL,189845.0
AALA,101323.0
AALAE,101323.0
AALR,7134.0
AAM,100968.0
AAMA,104959.0
AAMAE,104959.0
AAMC,101340.0
AAMC,188902.0
AAMCD,101340.0
AAMCE,101340.0
AAME,101746.0
AAML,124135.0
AAMS,124951.0
AAN,100880.0
AAN,100966.0
AAN,100967.0
AAN,214847.0
AAN,215004.0
AANB,100975.0
AANI,110773.0
AANIE,110773.0
AANP,101334.0
AANPE,101334.0
AAOI,189187.0
AAON,100861.0
AAOR,124951.0
AAORE,124951.0
AAP,8069.0
AAP,113185.0
AAPA,115250.0
AAPB,217800.0
AAPC,7136.0
AAPC,207091.0
AAPCE,7136.0
AAPD,217801.0
AAPG,107436.0
AAPH,112091.0
AAPHE,112091.0
AAPJ,110286.0
AAPL,101594.0
AAPO,111077.0
AAPOE,111077.0
AAPP,107436.0
AAPR,107436.0
AAPT,129399.0
AAPTE,129399.0
AAPU,217802.0
AAPY,218944.0
AAQ,203930.0
AAQC,215921.0
AAQS,134158.0
AAQSE,134158.0
AARD,124021.0
AARI,137464.0
AARID,137464.0
AARS,135220.0
AARW,100965.0
AARWE,100965.0
AAS,101475.0
AASI,101071.0
AASI,107436.0
AASL,139996.0
AASP,101219.0
AASPE,101219.0
AASR,101692.0
AAST,138685.0
AAT,101220.0
AAT,145799.0
AATC,216289.0
AATI,6145.0
AATI,124714.0
AATK,101335.0
AATT,8775.0
AAU,125297.0
AAUI,143726.0
AAUIE,143726.0
AAUK,101553.0
AAUKD,101553.0
AAUKV,101553.0
AAUKY,101553.0
AAV,101821.0
AAV,125247.0
AAVC,152057.0
AAVG,148427.0
AAVGE,148427.0
AAVL,204868.0
AAVT,120457.0
AAVVF,125247.0
AAVX,148775.0
AAVX,148799.0
AAWHQ,101759.0
AAWW,126953.0
AAX,107097.0
AAXJ,137548.0
AAXN,112669.0
AAXT,129291.0
AAXTE,129291.0
AAZ,109338.0
AB,6137.0
AB,101241.0
AB,102677.0
ABAC,143578.0
ABACE,7670.0
ABACF,7670.0
ABACQ,7670.0
ABAG,112564.0
ABAGE,112564.0
ABAKF,7039.0
ABAQ,121800.0
ABAT,102424.0
ABAT,208303.0
ABAV,115441.0
ABAX,100971.0
ABB,115089.0
ABBB,137550.0
ABBBY,6883.0
ABBC,122577.0
ABBCD,122577.0
ABBI,113438.0
ABBK,100977.0
ABBKE,100977.0
ABBNY,115089.0
ABBV,160586.0
ABBY,154830.0
ABBYD,154830.0
ABC,101475.0
ABCB,100863.0
ABCC,100864.0
ABCC,106606.0
ABCCC,100864.0
ABCCE,100864.0
ABCCE,106606.0
ABCD,139956.0
ABCE,207756.0
ABCI,7533.0
ABCI,107864.0
ABCIE,107864.0
ABCL,101237.0
ABCL,214993.0
ABCM,214858.0
ABCN,7003.0
ABCO,8218.0
ABCO,113159.0
ABCP,101313.0
ABCQE,100865.0
ABCR,100865.0
ABCR,155280.0
ABCRE,155280.0
ABCRQ,100865.0
ABCS,148082.0
ABCS,148086.0
ABCS,148087.0
ABCS,219109.0
ABCU,101236.0
ABCUE,101236.0
ABCW,101541.0
ABCW,205668.0
ABCWE,101541.0
ABCWQ,101541.0
ABCX,111357.0
ABCZY,214858.0
ABD,9091.0
ABD,105160.0
ABDC,114220.0
ABDC,204206.0
ABDC,217339.0
ABDCE,114220.0
ABDE,6462.0
ABDR,9031.0
ABDS,103817.0
ABDV,6462.0
ABE,101668.0
ABE,104279.0
ABED,118755.0
ABEO,206009.0
ABEQ,214179.0
ABER,100973.0
ABERF,100973.0
ABEV,101753.0
ABEV,103276.0
ABEW,128824.0
ABEWE,128824.0
ABF,101166.0
ABFB,211659.0
ABFI,101352.0
ABFIQ,101352.0
ABFS,101665.0
ABG,105425.0
ABG,114249.0
ABGA,6749.0
ABGA,101361.0
ABGAE,101361.0
ABGB,189481.0
ABGI,215307.0
ABGX,100976.0
ABH,101346.0
ABH,102305.0
ABHD,135206.0
ABHDE,135206.0
ABHG,100895.0
ABHH,101346.0
ABHI,138758.0
ABHI,152881.0
ABI,6755.0
ABI,100982.0
ABI,108617.0
ABID,110135.0
ABIDE,110135.0
ABIG,6755.0
ABII,106113.0
ABII,134794.0
ABIIB,106113.0
ABIIV,134794.0
ABIL,101332.0
ABIL,203176.0
ABILE,101332.0
ABILF,203176.0
ABIO,101603.0
ABIO,105876.0
ABIX,100970.0
ABIZ,101056.0
ABIZQ,101056.0
ABK,101311.0
ABKA,101344.0
ABKAE,101344.0
ABKB,127728.0
ABKBE,127728.0
ABKD,101376.0
ABKDE,101376.0
ABKFQ,101311.0
ABKH,101376.0
ABKI,134145.0
ABKIE,134145.0
ABL,101347.0
ABL,214687.0
ABLA,104008.0
ABLE,100979.0
ABLSQ,104008.0
ABLV,208618.0
ABLV,218683.0
ABLX,212163.0
ABM,100885.0
ABMC,101348.0
ABMCE,101348.0
ABMD,100978.0
ABME,111775.0
ABMI,101350.0
ABMIE,101350.0
ABMIQ,101350.0
ABML,208303.0
ABMLD,208303.0
ABMT,133999.0
ABMX,137240.0
ABN,5493.0
ABN,100880.0
ABNB,214950.0
ABNC,101343.0
ABND,9091.0
ABNJ,117796.0
ABNK,5493.0
ABNK,110359.0
ABNK,127521.0
ABNK,144663.0
ABNKQ,5493.0
ABNS,101236.0
ABNSE,101236.0
ABNT,116397.0
ABNTE,116397.0
ABNTQ,116397.0
ABNTV,116397.0
ABOQE,120951.0
ABOR,115017.0
ABOS,120951.0
ABOS,216070.0
ABOSQ,120951.0
ABOV,9451.0
ABOZ,128200.0
ABP,5030.0
ABP,100985.0
ABP,212957.0
ABPA,122760.0
ABPAE,122760.0
ABPCA,108733.0
ABPH,109251.0
ABPHE,109251.0
ABPI,124134.0
ABPIQ,124134.0
ABQ,162067.0
ABQQ,207431.0
ABR,6350.0
ABR,101753.0
ABR,121356.0
ABREF,9017.0
ABRG,101316.0
ABRI,100984.0
ABRM,114265.0
ABRS,7572.0
ABRW,204765.0
ABRX,8253.0
ABRX,104008.0
ABRXQ,104008.0
ABS,101199.0
ABS,208300.0
ABSC,101784.0
ABSC,117099.0
ABSD,6462.0
ABSH,101073.0
ABSHE,101073.0
ABSI,216187.0
ABSIE,5001.0
ABSO,7794.0
ABSP,111371.0
ABSPE,111371.0
ABSR,188551.0
ABSRE,188551.0
ABST,214864.0
ABT,100972.0
ABTC,7847.0
ABTE,100980.0
ABTEE,100980.0
ABTG,101315.0
ABTGD,101315.0
ABTI,7596.0
ABTI,138763.0
ABTIE,7596.0
ABTL,101793.0
ABTLE,101793.0
ABTN,112795.0
ABTN,127127.0
ABTO,127127.0
ABTS,210520.0
ABTX,208245.0
ABTXQ,8060.0
ABUS,145509.0
ABUY,101479.0
ABV,103276.0
ABV,103277.0
ABVA,113414.0
ABVC,122349.0
ABVN,206323.0
ABVT,138985.0
ABVV,102161.0
ABVVE,102161.0
ABVX,218847.0
ABWG,100866.0
ABWGE,100866.0
ABWI,114523.0
ABWIE,114523.0
ABWIV,114523.0
ABWN,204856.0
ABX,102021.0
ABXA,117430.0
ABXAV,117430.0
ABXX,203555.0
ABXXD,203555.0
ABXXE,203555.0
ABY,100988.0
ABY,204437.0
ABYD,104001.0
ABYDE,104001.0
ABZ,100973.0
ABZA,110218.0
ABZS,110218.0
AC,101241.0
AC,208460.0
ACA,8650.0
ACA,128139.0
ACA,213274.0
ACAB,217403.0
ACAC,107406.0
ACAC,215044.0
ACAC,217775.0
ACAD,101795.0
ACAD,121534.0
ACAH,128139.0
ACAH,215838.0
ACAI,101749.0
ACAI,105967.0
ACAJ,108686.0
ACAJC,108686.0
ACAJE,108686.0
ACAL,125593.0
ACAM,7382.0
ACAM,114853.0
ACAM,213636.0
ACAN,188885.0
ACANE,188885.0
ACAO,107406.0
ACAP,111327.0
ACAP,112501.0
ACAQ,122522.0
ACAQ,217038.0
ACAR,8518.0
ACAR,140436.0
ACARE,8518.0
ACARE,140436.0
ACAS,101354.0
ACAT,101642.0
ACAWE,108686.0
ACAX,217464.0
ACB,5031.0
ACB,213363.0
ACBA,101362.0
ACBA,215983.0
ACBC,101200.0
ACBCE,101200.0
ACBI,208419.0
ACBO,114622.0
ACBOE,114622.0
ACBP,121961.0
ACBQ,121800.0
ACBR,138639.0
ACBRE,138639.0
ACBT,137137.0
ACC,121802.0
ACCB,5711.0
ACCC,6098.0
ACCD,112350.0
ACCD,214429.0
ACCE,134260.0
ACCI,6935.0
ACCI,127444.0
ACCL,100996.0
ACCL,108958.0
ACCLE,100996.0
ACCM,129655.0
ACCO,104198.0
ACCO,105160.0
ACCOB,103404.0
ACCP,101003.0
ACCP,210645.0
ACCPE,101003.0
ACCR,101004.0
ACCRE,101004.0
ACCS,7442.0
ACCS,110130.0
ACCS,155328.0
ACCSE,155328.0
ACCT,7685.0
ACCTE,7685.0
ACCU,151737.0
ACCU,151753.0
ACCU,151754.0
ACCX,101742.0
ACCY,129171.0
ACCYE,129171.0
ACD,6550.0
ACD,105361.0
ACD,127467.0
ACDC,216968.0
ACDI,115413.0
ACDI,217129.0
ACDO,101010.0
ACDQ,129713.0
ACDU,148451.0
ACDX,6543.0
ACE,5009.0
ACE,112254.0
ACEC,101016.0
ACEE,5009.0
ACEH,128656.0
ACEI,101356.0
ACEID,101356.0
ACEIE,101356.0
ACEL,101213.0
ACEL,214054.0
ACELE,101213.0
ACEN,101359.0
ACER,110424.0
ACES,101457.0
ACES,213094.0
ACET,101017.0
ACET,212677.0
ACEV,214705.0
ACEZ,102966.0
ACEZD,102966.0
ACF,101462.0
ACFC,122005.0
ACFCD,122005.0
ACFL,8431.0
ACFN,103692.0
ACFND,103692.0
ACG,100875.0
ACGI,104510.0
ACGIE,104510.0
ACGL,112261.0
ACGN,105854.0
ACGX,118653.0
ACGY,110538.0
ACH,102842.0
ACH,113427.0
ACHC,151036.0
ACHHY,113427.0
ACHI,101363.0
ACHI,115382.0
ACHI,142966.0
ACHID,101363.0
ACHIE,115382.0
ACHL,215448.0
ACHM,125231.0
ACHN,128054.0
ACHO,114017.0
ACHOE,114017.0
ACHR,215081.0
ACHT,110178.0
ACHTE,110178.0
ACHV,110311.0
ACI,101637.0
ACI,208300.0
ACIA,128939.0
ACIA,209477.0
ACIAE,128939.0
ACIC,134763.0
ACIC,215081.0
ACIE,116273.0
ACIED,116273.0
ACIEE,116273.0
ACII,115382.0
ACII,215638.0
ACIIE,115382.0
ACIIQ,101637.0
ACIM,152051.0
ACIM,152052.0
ACIM,152055.0
ACIN,112797.0
ACIO,213820.0
ACIT,100887.0
ACITE,100887.0
ACIU,210225.0
ACIW,111140.0
ACK,5007.0
ACK,101669.0
ACK,143719.0
ACKBE,121373.0
ACKBF,121373.0
ACKH,101669.0
ACKHE,101669.0
ACKHQ,101669.0
ACKO,106717.0
ACKOE,106717.0
ACL,112254.0
ACL,114258.0
ACLA,101021.0
ACLE,100994.0
ACLE,122036.0
ACLEE,100994.0
ACLI,125028.0
ACLID,125028.0
ACLL,214440.0
ACLM,101264.0
ACLNF,112351.0
ACLO,106558.0
ACLO,116952.0
ACLOE,116952.0
ACLOV,116952.0
ACLP,104674.0
ACLPE,104674.0
ACLR,100998.0
ACLRE,100998.0
ACLS,101853.0
ACLX,217294.0
ACLY,100997.0
ACLY,122036.0
ACLYE,100997.0
ACLYE,122036.0
ACLZ,135062.0
ACM,129504.0
ACMA,145833.0
ACMB,205541.0
ACMBE,205541.0
ACMC,148452.0
ACMCD,101014.0
ACME,101022.0
ACME,101023.0
ACMG,9168.0
ACMG,162236.0
ACMI,101014.0
ACMIC,101014.0
ACMM,101008.0
ACMN,101715.0
ACMNE,101715.0
ACMP,145786.0
ACMR,100868.0
ACMR,212236.0
ACMT,101019.0
ACMTA,101020.0
ACMZ,127520.0
ACN,6198.0
ACN,112865.0
ACNAF,101157.0
ACNAQ,101157.0
ACNB,100867.0
ACNC,101183.0
ACNCE,101183.0
ACND,214693.0
ACNFC,112397.0
ACNI,124514.0
ACNIQ,124514.0
ACNM,148642.0
ACNME,148642.0
ACNR,6475.0
ACNRZ,6475.0
ACNS,121772.0
ACNT,110694.0
ACNTF,112397.0
ACO,7602.0
ACO,101320.0
ACOC,100942.0
ACOCE,100942.0
ACOE,134796.0
ACOL,101320.0
ACOM,7919.0
ACOM,101148.0
ACOM,139692.0
ACON,217559.0
ACOP,101266.0
ACOR,101794.0
ACOR,119879.0
ACORE,101794.0
ACP,101428.0
ACP,145879.0
ACPC,100993.0
ACPH,105515.0
ACPI,101277.0
ACPIE,101277.0
ACPIQ,101573.0
ACPW,101037.0
ACPX,6935.0
ACQR,215853.0
ACR,101424.0
ACR,125561.0
ACRB,144664.0
ACRD,119879.0
ACRE,153900.0
ACRG,100869.0
ACRG,134382.0
ACRGA,100869.0
ACRI,100987.0
ACRI,121950.0
ACRID,121950.0
ACRIE,121950.0
ACRN,101027.0
ACRNC,101027.0
ACRND,101027.0
ACRO,8488.0
ACRO,216452.0
ACROE,8488.0
ACRS,105925.0
ACRS,106907.0
ACRS,208234.0
ACRSE,105925.0
ACRSV,105925.0
ACRT,101041.0
ACRTE,101041.0
ACRTQ,101041.0
ACRU,101011.0
ACRUE,101011.0
ACRUQ,101011.0
ACRV,218001.0
ACRX,101502.0
ACRX,145973.0
ACS,6551.0
ACS,101137.0
ACSA,101137.0
ACSB,218772.0
ACSEF,112352.0
ACSF,193060.0
ACSG,213399.0
ACSH,115878.0
ACSH,125445.0
ACSHV,125445.0
ACSI,8161.0
ACSI,210463.0
ACSI,210471.0
ACSI,215894.0
ACSJ,101002.0
ACSJ,115878.0
ACSJE,115878.0
ACSR,150920.0
ACSR,161290.0
ACSRD,161290.0
ACST,110130.0
ACST,161081.0
ACSTE,110130.0
ACSU,129663.0
ACSX,166733.0
ACSXE,166733.0
ACSY,9362.0
ACT,111907.0
ACT,212497.0
ACT,212498.0
ACT,212500.0
ACT,215796.0
ACTA,106314.0
ACTB,112586.0
ACTC,101605.0
ACTC,116325.0
ACTC,214923.0
ACTCE,116325.0
ACTD,215927.0
ACTFF,101034.0
ACTG,116548.0
ACTH,116325.0
ACTI,8681.0
ACTI,101039.0
ACTI,116776.0
ACTID,116776.0
ACTIE,8681.0
ACTL,101031.0
ACTL,188669.0
ACTM,100886.0
ACTME,100886.0
ACTMQ,100886.0
ACTN,101030.0
ACTN,133997.0
ACTN,144524.0
ACTP,101036.0
ACTR,101035.0
ACTRQ,101035.0
ACTS,125180.0
ACTT,100884.0
ACTT,213704.0
ACTU,101042.0
ACTUE,101042.0
ACTV,128132.0
ACTV,147892.0
ACTV,214866.0
ACTX,207094.0
ACTX,207097.0
ACTY,103957.0
ACTYD,103957.0
ACTYE,6737.0
ACTYF,6737.0
ACU,101024.0
ACUC,128879.0
ACUG,154583.0
ACUP,115324.0
ACUPE,115324.0
ACUR,105515.0
ACUS,117835.0
ACUZ,140796.0
ACUZD,140796.0
ACV,101197.0
ACV,101198.0
ACV,128182.0
ACV,207295.0
ACVA,215430.0
ACVC,101033.0
ACVE,101040.0
ACVEE,101040.0
ACVF,214876.0
ACW,123636.0
ACW,140796.0
ACWF,207105.0
ACWF,207112.0
ACWF,207113.0
ACWI,135438.0
ACWV,150984.0
ACWV,150985.0
ACWV,150991.0
ACWX,135437.0
ACWY,204368.0
ACX,101655.0
ACX,105372.0
ACXA,203309.0
ACXM,101044.0
ACXP,216019.0
ACY,101118.0
ACYG,5032.0
ACYT,5032.0
ACYT,111236.0
ACZ,5010.0
AD,101102.0
ADA,7383.0
ADAC,101045.0
ADAC,137133.0
ADACD,101045.0
ADACD,137133.0
ADACE,101045.0
ADAG,215246.0
ADAL,217114.0
ADAM,101047.0
ADAP,101051.0
ADAP,207167.0
ADAPE,101051.0
ADAPQ,101051.0
ADAT,102208.0
ADAX,8177.0
ADBE,101062.0
ADBI,102126.0
ADBK,101108.0
ADBL,101773.0
ADBLC,101773.0
ADBLD,101773.0
ADBN,101461.0
ADBY,102126.0
ADBYF,102126.0
ADC,101152.0
ADCC,9094.0
ADCCE,9094.0
ADCJ,102382.0
ADCO,8489.0
ADCO,101423.0
ADCOE,101423.0
ADCT,100871.0
ADCT,214730.0
ADCTD,100871.0
ADD,133992.0
ADDI,107668.0
ADDL,107033.0
ADDLE,107033.0
ADDM,101054.0
ADDMD,101054.0
ADDME,101054.0
ADDU,148827.0
ADDUD,148827.0
ADEA,119280.0
ADEC,138515.0
ADECY,101055.0
ADEH,129756.0
ADEHE,129756.0
ADELQ,101057.0
ADEMY,9549.0
ADENF,116595.0
ADEO,101058.0
ADEP,101058.0
ADER,215492.0
ADES,118188.0
ADET,6341.0
ADEX,100874.0
ADEX,215420.0
ADF,100883.0
ADF,216021.0
ADFI,127486.0
ADFI,214611.0
ADFS,137062.0
ADG,101261.0
ADG,112138.0
ADGD,120058.0
ADGDE,120058.0
ADGE,134666.0
ADGEV,109556.0
ADGF,101049.0
ADGI,101365.0
ADGI,216270.0
ADGIE,101365.0
ADGL,138454.0
ADGO,101049.0
ADGO,112510.0
ADGR,104434.0
ADGRE,104434.0
ADGS,138553.0
ADH,111174.0
ADH,122359.0
ADHC,7438.0
ADHD,166419.0
ADHH,207076.0
ADHHD,207076.0
ADHHE,207076.0
ADHI,123377.0
ADI,101535.0
ADIA,116417.0
ADIAY,101055.0
ADIC,101076.0
ADII,100889.0
ADIIE,100889.0
ADIL,212936.0
ADIN,101832.0
ADIN,213016.0
ADIV,215633.0
ADIY,113087.0
ADK,128655.0
ADL,100909.0
ADLAC,101057.0
ADLAE,101057.0
ADLE,101756.0
ADLI,101408.0
ADLID,101408.0
ADLQE,101078.0
ADLR,7493.0
ADLR,101063.0
ADLRF,101065.0
ADLS,124328.0
ADLSD,124328.0
ADLSE,124328.0
ADLT,101078.0
ADLTQ,101078.0
ADLU,101106.0
ADLUE,101106.0
ADM,101639.0
ADMA,189480.0
ADMC,146222.0
ADMCE,146222.0
ADMD,101109.0
ADMD,145582.0
ADMDE,101109.0
ADME,214037.0
ADMG,101082.0
ADMG,128807.0
ADMGE,101082.0
ADMGQ,101082.0
ADMH,109737.0
ADMHE,109737.0
ADMP,102827.0
ADMPE,102827.0
ADMPRA,213102.0
ADMRD,6279.0
ADMS,101081.0
ADMS,142907.0
ADMS,203984.0
ADMT,100888.0
ADMTC,100888.0
ADMTE,100888.0
ADMV,206927.0
ADMVE,206927.0
ADMZ,137269.0
ADMZD,137269.0
ADN,213432.0
ADNC,154336.0
ADNE,5021.0
ADNEA,5021.0
ADNT,123502.0
ADNT,210342.0
ADNTE,123502.0
ADNY,103358.0
ADNYD,103358.0
ADO,101055.0
ADOC,215036.0
ADOM,211455.0
ADOT,101089.0
ADOTE,101089.0
ADOV,126734.0
ADP,101260.0
ADP,101800.0
ADPC,101260.0
ADPCE,101260.0
ADPI,101364.0
ADPL,5024.0
ADPLE,5024.0
ADPR,114637.0
ADPRE,123620.0
ADPT,101053.0
ADPT,204492.0
ADPT,213793.0
ADPV,218046.0
ADPVQ,8006.0
ADPVV,205210.0
ADPX,114621.0
ADR,101500.0
ADRA,116488.0
ADRA,215581.0
ADRD,116489.0
ADRE,116490.0
ADRH,114234.0
ADRM,105167.0
ADRN,107319.0
ADRN,115430.0
ADRND,107319.0
ADRNE,115430.0
ADRO,207034.0
ADRRF,101065.0
ADRT,217325.0
ADRU,116491.0
ADRV,139402.0
ADRX,101550.0
ADRXD,101550.0
ADS,115211.0
ADSC,101750.0
ADSD,107668.0
ADSDE,107668.0
ADSE,215494.0
ADSI,8979.0
ADSK,101795.0
ADSM,115110.0
ADSME,115110.0
ADSN,101097.0
ADSN,205111.0
ADSND,205111.0
ADSNE,101097.0
ADSO,8006.0
ADSO,113100.0
ADSO,138686.0
ADSOD,8006.0
ADSOE,113100.0
ADSOE,138686.0
ADSOQ,8006.0
ADSP,101657.0
ADSPE,101657.0
ADSPQ,101657.0
ADST,101066.0
ADSTE,101066.0
ADSU,139162.0
ADSUE,139162.0
ADSV,134598.0
ADSVE,134598.0
ADSW,210305.0
ADSX,101605.0
ADSXD,101605.0
ADSXE,101605.0
ADSY,139230.0
ADSYE,139230.0
ADSYQ,139230.0
ADT,6667.0
ADT,155119.0
ADT,212659.0
ADTC,101075.0
ADTCQ,101075.0
ADTH,217110.0
ADTI,101068.0
ADTIE,101068.0
ADTK,101058.0
ADTM,101052.0
ADTM,138923.0
ADTN,101067.0
ADTN,217735.0
ADTO,154362.0
ADTOD,154362.0
ADTQE,101075.0
ADTX,103178.0
ADTX,214409.0
ADUS,139644.0
ADV,101092.0
ADV,213906.0
ADVA,100889.0
ADVAE,100889.0
ADVAV,113185.0
ADVB,101072.0
ADVB,218541.0
ADVC,101074.0
ADVC,112511.0
ADVCE,101074.0
ADVDE,6712.0
ADVE,101124.0
ADVE,138810.0
ADVE,218797.0
ADVEE,101124.0
ADVI,101079.0
ADVM,204868.0
ADVNA,101125.0
ADVNB,101126.0
ADVP,101070.0
ADVP,142967.0
ADVPE,142967.0
ADVR,101123.0
ADVRE,101123.0
ADVS,101129.0
ADVSE,101129.0
ADVT,6712.0
ADVT,109472.0
ADVTD,6712.0
ADVTE,6712.0
ADWT,125269.0
ADWTE,125269.0
ADX,101048.0
ADXI,127558.0
ADXM,134019.0
ADXN,214189.0
ADXS,124375.0
ADXSD,124375.0
ADXSE,124375.0
ADY,102126.0
ADY,113087.0
ADYE,115441.0
ADYEE,115441.0
ADYN,107374.0
ADYN,127541.0
ADYNE,127541.0
ADYX,203183.0
ADZA,122542.0
ADZR,104507.0
ADZRE,104507.0
AE,101050.0
AEA,122569.0
AEAC,215482.0
AEAE,217033.0
AEAN,122796.0
AEBF,126957.0
AEBFE,126957.0
AEBS,104230.0
AEBSE,104230.0
AEC,101722.0
AECC,101370.0
AECC,101374.0
AECO,104412.0
AECP,139364.0
AECPE,139364.0
AECZ,108050.0
AED,101947.0
AED,123526.0
AEDC,148083.0
AEDCD,148083.0
AEDU,101370.0
AEDUE,101370.0
AEE,101325.0
AEEX,204686.0
AEF,102976.0
AEFI,139110.0
AEFIE,139110.0
AEG,101122.0
AEGA,146252.0
AEGCF,106377.0
AEGFD,140011.0
AEGG,122388.0
AEGGE,122388.0
AEGN,101120.0
AEGN,106146.0
AEGND,101120.0
AEGP,8232.0
AEGPE,8232.0
AEGR,8126.0
AEGR,144504.0
AEGY,139247.0
AEGYD,139247.0
AEGYE,139247.0
AEGZ,140011.0
AEGZE,140011.0
AEGZF,140011.0
AEH,9022.0
AEHA,216874.0
AEHCF,9278.0
AEHFZ,9278.0
AEHI,140294.0
AEHL,135031.0
AEHR,101113.0
AEHZ,9278.0
AEHZF,9278.0
AEI,214143.0
AEIC,5016.0
AEIS,101128.0
AEISE,101128.0
AEL,101130.0
AEL,119692.0
AELA,101130.0
AELNA,5002.0
AEM,101151.0
AEMB,216183.0
AEMC,104679.0
AEMCE,104679.0
AEMD,101134.0
AEMD,207639.0
AEMF,104679.0
AEMI,110763.0
AEN,100907.0
AEN,123619.0
AEN,126880.0
AENA,129776.0
AENAE,129776.0
AENC,5043.0
AEND,114519.0
AENDE,114519.0
AENG,101105.0
AENGE,101105.0
AENP,114652.0
AENPE,114652.0
AENQE,127126.0
AENS,121674.0
AENSE,121674.0
AENT,215581.0
AENY,127126.0
AENYE,127126.0
AENYQ,127126.0
AENZ,188535.0
AEO,101369.0
AEOH,128183.0
AEOHE,128183.0
AEOKD,5023.0
AEON,215630.0
AEON,216568.0
AEOS,101369.0
AEOSD,101369.0
AEP,101368.0
AEPI,100890.0
AEPP,207159.0
AEPPZ,215152.0
AEPW,128141.0
AEPWE,128141.0
AEQ,162067.0
AEQSY,6466.0
AER,101114.0
AER,128233.0
AERC,123597.0
AERC,216599.0
AERCF,137636.0
AERG,111301.0
AERI,189573.0
AERL,8882.0
AERL,137636.0
AERN,100882.0
AERNC,100882.0
AERO,5013.0
AERO,128696.0
AEROE,128696.0
AERP,116029.0
AERPE,116029.0
AERS,101117.0
AERT,101127.0
AERT,217026.0
AERTA,101127.0
AES,100900.0
AESC,100900.0
AESC,215544.0
AESE,212164.0
AESI,218236.0
AESK,101437.0
AESKE,101437.0
AESO,121674.0
AESOE,121674.0
AESP,101077.0
AESPE,101077.0
AESR,214114.0
AET,101135.0
AET,112507.0
AETC,101606.0
AETCE,101606.0
AETCQ,101606.0
AETH,101133.0
AETH,218857.0
AETI,129551.0
AEU,7676.0
AEVA,214234.0
AEXCA,101518.0
AEXE,188510.0
AEXEE,188510.0
AEXG,127485.0
AEXGE,127485.0
AEXP,129577.0
AEXPE,129577.0
AEY,101054.0
AEYE,213215.0
AEYS,101373.0
AEYSE,101373.0
AEZ,112516.0
AEZS,101130.0
AF,101649.0
AF,101729.0
AFA,101137.0
AFAC,217148.0
AFAD,7493.0
AFAM,101278.0
AFAN,148133.0
AFANE,148133.0
AFAP,5003.0
AFAPE,5003.0
AFAQ,215958.0
AFAR,217647.0
AFAS,8143.0
AFB,113782.0
AFBA,113483.0
AFBC,101069.0
AFBG,135081.0
AFBI,214695.0
AFBK,101195.0
AFBKE,101195.0
AFBR,101712.0
AFBRE,101712.0
AFC,101265.0
AFCB,8086.0
AFCB,140295.0
AFCE,114872.0
